model,train_accuracy,test_accuracy,test_balanced_accuracy,test_f1,test_roc_auc,overfitting_gap
Majority Class Benchmark,,0.459613196814562,0.5,0.0,,
Random-Walk Persistence Benchmark,,0.5767918088737202,0.5740125065138093,0.608421052631579,,
Logistic Regression,0.5724743777452416,0.5494880546075085,0.5485643564356436,0.5732758620689655,0.5579103699843668,0.022986323137733078
Random Forest,0.7491459248413861,0.5415244596131968,0.5374960917144346,0.5806451612903226,0.5523137050547159,0.20762146522818925
Decision Tree,0.6232308443142996,0.5267349260523322,0.5188170922355393,0.5848303393213573,0.5096221990620114,0.09649591826196746
